,Macrophages,Mast,Monocytes,mDCs
6x14,0.03264729,0.6168746,0.12132014,0.22915797
3x8,0.030007554,0.6962755,0.07639067,0.19732638
16x11,0.03521242,0.7125392,0.02688238,0.22536601
2x6,0.094871275,0.5419166,0.23580746,0.12740466
3x12,0.02846551,0.844213,0.027732516,0.09958901
16x15,0.074587844,0.45395732,0.093206294,0.37824857
5x6,0.0761457,0.6219581,0.068719715,0.23317654
9x13,0.080664635,0.48221308,0.17624311,0.26087916
15x15,0.11323851,0.34735167,0.11773289,0.42167696
2x13,0.051728927,0.4018311,0.07978571,0.46665427
10x10,0.0043503074,0.82811576,0.13014852,0.037385482
7x4,0.108059615,0.56015855,0.12004335,0.21173854
8x16,0.081898734,0.6367532,0.05885926,0.22248884
16x16,0.05300562,0.6651966,0.076136135,0.20566167
6x6,0.013719188,0.7610849,0.07071434,0.15448153
0x10,0.006274169,0.8309485,0.043211382,0.119566016
7x12,0.11068817,0.65802526,0.08190798,0.14937852
12x7,0.0436827,0.6838996,0.059673384,0.21274427
6x18,0.026507847,0.6752355,0.0895457,0.20871104
3x14,0.0575556,0.67992735,0.073409684,0.18910739
15x11,0.110226266,0.4854386,0.19344315,0.21089208
7x3,0.077833995,0.40297285,0.10184551,0.41734773
9x16,0.051324993,0.51171887,0.04123044,0.39572564
1x10,0.100546695,0.29099745,0.21177101,0.39668489
17x5,0.061983205,0.56791544,0.07104111,0.29906023
9x6,0.007377414,0.9073191,0.011064319,0.07423922
6x7,0.086832784,0.6322083,0.1280628,0.15289615
0x0,0.002939606,0.7202648,0.0061118836,0.27068368
0x1,0.036946703,0.59412533,0.0628494,0.30607852
0x2,0.009204988,0.7874152,0.039998937,0.16338088
0x3,0.031184243,0.5595433,0.07397834,0.33529413
0x4,0.059547875,0.68453926,0.15339261,0.102520265
0x5,0.016733348,0.8224137,0.0062997113,0.15455326
0x6,0.007820581,0.90235627,0.03846294,0.05136013
0x7,0.048998456,0.7871428,0.0042217816,0.1596369
0x8,0.005518651,0.9105429,0.029059947,0.05487851
0x9,0.0057286494,0.89178735,0.01705808,0.08542587
0x11,0.033242155,0.9446758,0.0031037421,0.018978314
0x12,0.07280475,0.8096798,0.048344992,0.06917037
0x13,0.0037929278,0.917423,0.005711905,0.07307215
0x14,0.0029008365,0.9217475,0.022913996,0.052437667
0x15,0.0051749945,0.82683855,0.033896375,0.13409002
0x16,0.021935945,0.92367655,0.032286603,0.022100834
0x17,0.029523496,0.88236505,0.04655642,0.04155508
0x18,0.075947054,0.7315462,0.104960345,0.087546475
0x19,0.06599077,0.7684864,0.035586506,0.12993635
0x20,0.004579913,0.68958366,0.18622535,0.11961106
0x21,0.018963384,0.67832756,0.016261157,0.28644794
0x22,0.057312187,0.714862,0.14255366,0.08527218
0x23,0.114975296,0.5397856,0.118251234,0.22698787
0x24,0.072169565,0.8160929,0.06442829,0.047309123
0x25,0.07498741,0.5746603,0.035788905,0.3145634
0x26,0.010723363,0.7017731,0.046013176,0.2414904
0x27,0.055894908,0.6277902,0.08372834,0.23258649
0x28,0.09378346,0.5514927,0.1164399,0.23828396
0x29,0.05194213,0.4546023,0.09906487,0.39439073
0x30,0.11183874,0.62758845,0.09810708,0.16246575
0x31,0.062325552,0.63084143,0.02124857,0.28558445
0x32,0.1400217,0.4668841,0.070835344,0.32225886
0x33,0.05461712,0.63036126,0.014026315,0.3009953
0x34,0.08699731,0.73408943,0.11945921,0.059454057
0x35,0.048903752,0.5345648,0.06294967,0.3535818
0x36,0.05198917,0.70303035,0.07924144,0.16573898
0x37,0.14801708,0.44472745,0.11932961,0.28792593
0x38,0.12630753,0.51663953,0.20572573,0.15132724
0x39,0.049401738,0.5203233,0.035056703,0.3952183
0x40,0.08361932,0.657332,0.06672437,0.19232433
0x41,0.06562121,0.35788137,0.2282332,0.34826422
0x42,0.11253331,0.4906029,0.12888013,0.26798373
0x43,0.11488202,0.5526317,0.07525972,0.25722653
0x44,0.030429179,0.6605174,0.07427372,0.2347798
0x45,0.12831637,0.5255835,0.16209385,0.18400638
0x46,0.09298097,0.5988338,0.08718219,0.22100303
0x47,0.07393665,0.5412926,0.13032642,0.25444436
0x48,0.06316032,0.43720466,0.1873525,0.31228253
0x49,0.12757376,0.5881712,0.082388036,0.201867
1x0,0.022215376,0.88852173,0.025060322,0.06420249
1x1,0.057093613,0.83882296,0.009343093,0.09474031
1x2,0.0729451,0.6808601,0.02908072,0.21711406
1x3,0.052853923,0.64391565,0.022428662,0.28080174
1x4,0.003030445,0.9032346,0.011987202,0.08174776
1x5,0.032529756,0.89223385,0.0566044,0.018632045
1x6,0.027475214,0.9072762,0.009319244,0.055929337
1x7,0.0023531383,0.92279583,0.0026102278,0.07224078
1x8,0.012901893,0.9117135,0.01176935,0.06361521
1x9,0.009402829,0.9059934,0.028519742,0.05608399
1x11,0.017809775,0.8352121,0.004797341,0.14218077
1x12,0.005726809,0.83737165,0.010610693,0.14629085
1x13,0.015579248,0.7837918,0.04509166,0.15553725
1x14,0.022042003,0.761156,0.16583005,0.05097183
1x15,0.004009309,0.91131216,0.023477431,0.061201114
1x16,0.035362218,0.80345124,0.019104933,0.14208165
1x17,0.015779693,0.8347622,0.002749171,0.14670886
1x18,0.03381869,0.79860485,0.014368535,0.15320794
1x19,0.021557586,0.6927254,0.03954271,0.24617425
1x20,0.044859637,0.5739033,0.0628517,0.31838533
1x21,0.072269246,0.76194274,0.110353865,0.055434067
1x22,0.019568864,0.7644241,0.02124034,0.19476676
1x23,0.07413277,0.57434255,0.07160793,0.27991673
1x24,0.08277576,0.64179033,0.06470195,0.21073198
1x25,0.07166634,0.55631363,0.055938073,0.31608197
1x26,0.043945204,0.48472455,0.33316416,0.13816606
1x27,0.063308254,0.6011421,0.050575826,0.2849738
1x28,0.11153219,0.59886384,0.12202077,0.16758317
1x29,0.10328111,0.42092314,0.26671854,0.20907721
1x30,0.080411926,0.56500155,0.0444509,0.31013572
1x31,0.04860779,0.536776,0.20106937,0.21354681
1x32,0.052397255,0.5481421,0.061556045,0.33790463
1x33,0.071292564,0.52694356,0.03949123,0.36227265
1x34,0.062882826,0.6850862,0.06626519,0.18576573
1x35,0.14096004,0.50095487,0.07016463,0.28792048
1x36,0.113736905,0.64532006,0.07785855,0.16308457
1x37,0.089642346,0.58752894,0.15806763,0.16476102
1x38,0.056229398,0.4762567,0.11224945,0.35526446
1x39,0.06613785,0.65949136,0.15706258,0.11730821
1x40,0.08366449,0.54367775,0.04063328,0.3320245
1x41,0.1376105,0.40772122,0.10494659,0.34972173
1x42,0.05732664,0.5184503,0.04250524,0.38171783
1x43,0.11070414,0.4264904,0.12887414,0.33393136
1x44,0.08014748,0.4395282,0.039465606,0.44085875
1x45,0.068304256,0.52020234,0.05661208,0.35488132
1x46,0.11907425,0.58669996,0.23272373,0.06150205
1x47,0.13959387,0.43584388,0.10784907,0.3167132
1x48,0.06376772,0.6435624,0.044901557,0.24776833
1x49,0.014816751,0.6521749,0.055634376,0.2773739
2x0,0.01701347,0.84126204,0.0029591622,0.13876526
2x1,0.010499537,0.78292024,0.04173163,0.16484857
2x2,0.08842307,0.8521517,0.023774901,0.035650373
2x3,0.0027943766,0.954297,0.0025343625,0.040374313
2x4,0.016816458,0.90510684,0.008604822,0.06947186
2x5,0.013368881,0.73706007,0.023442572,0.22612841
2x7,0.01060104,0.960475,0.0015262943,0.027397625
2x8,0.01310811,0.86705863,0.063746236,0.05608693
2x9,0.0048402534,0.95185137,0.0027337444,0.04057466
2x10,0.005998639,0.9223801,0.011578885,0.0600424
2x11,0.029838534,0.905206,0.022387156,0.04256828
2x12,0.011105167,0.9372312,0.010796749,0.040866885
2x14,0.019096741,0.9153078,0.024324413,0.041270938
2x15,0.03823693,0.9162801,0.0072609675,0.038222
2x16,0.054203764,0.6185699,0.07542061,0.25180572
2x17,0.0054190164,0.83329713,0.013751408,0.14753243
2x18,0.039352067,0.66753364,0.036996774,0.25611752
2x19,0.08073029,0.75624555,0.022201268,0.14082289
2x20,0.043246154,0.7152301,0.066320844,0.17520288
2x21,0.03283792,0.82089865,0.045173224,0.1010902
2x22,0.046214756,0.7418482,0.087253235,0.12468383
2x23,0.09333058,0.5702976,0.07140018,0.26497158
2x24,0.03415405,0.7684987,0.03610439,0.16124284
2x25,0.02390597,0.67160916,0.030120492,0.27436435
2x26,0.018510535,0.7341409,0.058603927,0.18874462
2x27,0.1389111,0.5387909,0.15894054,0.16335744
2x28,0.116045795,0.6290735,0.09434664,0.16053405
2x29,0.0400801,0.6635605,0.013966353,0.28239307
2x30,0.114278525,0.5973722,0.19384685,0.09450244
2x31,0.050483793,0.50911725,0.07447208,0.3659268
2x32,0.08384463,0.5155094,0.18967654,0.21096937
2x33,0.095918275,0.6443559,0.09034117,0.16938466
2x34,0.032136675,0.651828,0.013280626,0.30275467
2x35,0.060115926,0.56431484,0.100947075,0.27462217
2x36,0.11851023,0.45264015,0.053634483,0.37521514
2x37,0.04011232,0.6927272,0.034146942,0.23301353
2x38,0.11306026,0.54808074,0.09597522,0.24288379
2x39,0.058670934,0.4898509,0.10632638,0.34515175
2x40,0.071550764,0.44341704,0.14514598,0.3398862
2x41,0.032576803,0.56338906,0.0720066,0.3320275
2x42,0.09242792,0.5910082,0.04425913,0.2723048
2x43,0.087225296,0.4083044,0.076928005,0.42754233
2x44,0.060889363,0.6631237,0.011302797,0.26468408
2x45,0.10370809,0.55419844,0.07480327,0.26729015
2x46,0.038698867,0.51207244,0.07645745,0.37277123
2x47,0.07499207,0.49835235,0.06957275,0.3570828
2x48,0.052959584,0.58449316,0.09727609,0.2652712
2x49,0.08776149,0.5793772,0.09952522,0.23333618
3x0,0.04229996,0.8543666,0.052306425,0.051026918
3x1,0.033938833,0.87880325,0.025945373,0.061312508
3x2,0.0068421545,0.9391283,0.0104827285,0.04354695
3x3,0.005198955,0.93823594,0.0028443688,0.053720754
3x4,0.017421588,0.91286206,0.004651789,0.06506461
3x5,0.022703303,0.93370944,0.005117139,0.038470123
3x6,0.012046881,0.8661488,0.038703773,0.08310051
3x7,0.003032801,0.9106457,0.024997868,0.061323646
3x9,0.019814596,0.95061815,0.0020297226,0.02753756
3x10,0.022838384,0.9264735,0.01732386,0.033364195
3x11,0.017920936,0.9214319,0.0050468994,0.055600252
3x13,0.016206015,0.9447322,0.012104269,0.026957558
3x15,0.0028025815,0.94432306,0.0121471,0.04072729
3x16,0.012182401,0.78571296,0.025261244,0.17684345
3x17,0.005003165,0.9455839,0.009938578,0.03947433
3x18,0.026944946,0.7775609,0.12816255,0.06733166
3x19,0.08008426,0.78851163,0.049001887,0.08240226
3x20,0.14978932,0.64485735,0.067378215,0.13797513
3x21,0.043003615,0.7481483,0.016550528,0.19229752
3x22,0.15428351,0.6809109,0.028458472,0.13634709
3x23,0.07855479,0.7517744,0.04935002,0.12032077
3x24,0.06923712,0.5821263,0.0585493,0.29008725
3x25,0.063995294,0.55409145,0.039668124,0.3422452
3x26,0.046636436,0.5084717,0.050041765,0.3948501
3x27,0.11978003,0.5995711,0.1987497,0.081899166
3x28,0.06993277,0.63447684,0.05582091,0.23976952
3x29,0.027711894,0.5409776,0.08573958,0.3455709
3x30,0.09313985,0.47819024,0.062401433,0.3662685
3x31,0.121040806,0.49267188,0.07674709,0.30954027
3x32,0.07407893,0.58082724,0.069980145,0.2751137
3x33,0.10438419,0.42663163,0.10487898,0.36410525
3x34,0.09208797,0.39985806,0.15176857,0.35628536
3x35,0.089425966,0.48372293,0.17760858,0.24924251
3x36,0.112524666,0.5708868,0.13318077,0.18340786
3x37,0.08705108,0.5679271,0.052930646,0.2920912
3x38,0.1721398,0.47369835,0.08089554,0.27326623
3x39,0.07608408,0.57690334,0.059082016,0.2879306
3x40,0.17901552,0.49711582,0.051887106,0.2719816
3x41,0.09936846,0.46778,0.04518108,0.3876704
3x42,0.20688193,0.44963586,0.056370314,0.2871119
3x43,0.06450979,0.53871435,0.08792815,0.3088477
3x44,0.07413902,0.53214866,0.23001795,0.16369443
3x45,0.08110999,0.43591172,0.2500077,0.23297065
3x46,0.045627434,0.61009574,0.13086773,0.21340905
3x47,0.13542444,0.6146289,0.12669829,0.123248346
3x48,0.036738466,0.56732136,0.24807668,0.14786352
3x49,0.09982289,0.5257785,0.07382994,0.30056867
4x0,0.00874379,0.89947426,0.027601277,0.06418071
4x1,0.039647423,0.69123447,0.0042463886,0.26487166
4x2,0.05418604,0.747163,0.006349606,0.19230136
4x3,0.03338705,0.938236,0.0025753947,0.025801428
4x4,0.0033819883,0.92032516,0.0148339,0.061458953
4x5,0.022340078,0.88837296,0.0064230473,0.08286393
4x6,0.0043324563,0.92379254,0.0051669083,0.06670809
4x7,0.038843207,0.9248665,0.0025039369,0.03378637
