"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes","coordX","coordY"
"0x0",0.0745613200748702,0.3767543651426,0.0280582076991817,0.120917308772867,0.1478816086046,0.0211354929056716,0.212717313697414,0.0179743831027944,0,0
"0x1",0.0356826621757485,0.332691343026142,0.0769952288500808,0.0895717655083725,0.276975895279789,0.0307409220622052,0.106374834002267,0.0509673490953952,0,1
"0x2",0.0883384220044933,0.413000598296474,0.0771460563306318,0.104514417630791,0.0718919264738527,0.0239133551620864,0.160568748744465,0.0606264753572052,0,2
"0x3",0.0196927218623054,0.37641480438992,0.0747689905742406,0.0778825591122208,0.29819800674218,0.0203461748306066,0.0791536663379156,0.0535430761506116,0,3
"0x4",0.0271140801917386,0.449544555736839,0.0134043503768897,0.0918821169239937,0.173062180074053,0.0150534619195729,0.0779825911265528,0.15195666365036,0,4
"0x5",0.110986749274172,0.416631797391768,0.00267766687591475,0.0950267642673143,0.149619399667056,0.0157935901954755,0.161552386816906,0.0477116455113933,0,5
"0x6",0.108372209347836,0.416616985244225,0.0196151333197468,0.0986848279360216,0.0694953028757996,0.062372840990668,0.150180615546945,0.0746620847387577,0,6
"0x7",0.0691521876752698,0.41126129254336,0.0351495072184105,0.132637344213404,0.0996067400942837,0.0143775036495056,0.168116291594561,0.0696991330112046,0,7
"0x8",0.0541937772942593,0.509722582181091,0.0208206073789045,0.120253246756967,0.108446228895428,0.0328006767966346,0.09798537532135,0.055777505375365,0,8
"0x9",0.0481135440344784,0.525454238522194,1.33904173487284e-118,0.0885640672420438,0.118390233242311,0.0236850123353966,0.145017687125078,0.0507752174984977,0,9
"0x10",0.0384763187780912,0.486119092193226,0.0650023719061852,0.12154175411444,0.115221159208762,0.0260838994016385,0.0465282242485805,0.101027180149077,0,10
"0x11",0.140782403343664,0.44407218692717,0.0110773420542825,0.130210619864039,0.061280350997067,0.0225947608517221,0.101003424088616,0.0889789118734407,0,11
"0x12",0.116721380595389,0.519247404206884,0.0116705524589612,0.0966408264033068,0.114147301168329,0.0211538191445678,0.0222934640938804,0.0981252519286815,0,12
"0x13",0.111130874610554,0.438425053198048,0.0139278165850756,0.0933627551358581,0.0533517366522859,0.0248648370849538,0.183593442930109,0.0813434838031151,0,13
"0x14",0.121863093012811,0.492105611450546,0.0203665476101708,0.111836236379251,0.0759144371127922,0.0207128627692104,0.0694338992904464,0.0877673123747718,0,14
"0x15",0.0388457631901613,0.504395926892134,0.0725142694697686,0.106005009401004,0.0530417082151186,0.0265535684182209,0.116021967238109,0.0826217871754839,0,15
"0x16",0.128027069787866,0.407667510677514,0.00380937222598621,0.144972954957216,0.0420728289122366,0.0583700917300455,0.121693453710566,0.0933867179985697,0,16
"0x17",0.123640591144699,0.405942709879878,0.013642227442318,0.105833443392397,0.0741719918061311,0.0774014519406046,0.12698481171916,0.0723827726748128,0,17
"0x18",0.14792366469489,0.309814910143669,0.0566298936031914,0.0890906352309492,0.106703618323672,0.0288126224467404,0.0871968289261787,0.173827826630709,0,18
"0x19",0.0476812027838592,0.399099663880613,0.0372229101466308,0.0624748217104157,0.140444219777252,0.0158948644543878,0.198098562329084,0.0990837549177572,0,19
"0x20",0.071912887483224,0.412013645724131,0.0631150486648614,0.132655547667703,0.0385222483897867,0.0311859108917974,0.0896634130341423,0.160931298144355,0,20
"0x21",0.0174844076233434,0.395903375981771,0.178145825007887,0.103602443375982,0.137901605737264,0.0325718995296624,0.0738655654887932,0.0605248772552968,0,21
"0x22",0.10668972767842,0.246452698090846,0.0478253484981667,0.122720272809231,0.0351333658228124,0.0211944959435779,0.244086424589442,0.175897666567504,0,22
"0x23",0.144011939508877,0.201106115859584,0.023476171341388,0.112202504945631,0.332316774637881,0.0181501350197102,0.02832022606371,0.140416132623219,0,23
"0x24",0.10744376996186,0.374610185998945,0.0120423440660096,0.0721050845000468,0.0622654628622723,0.117311970470167,0.10290822561533,0.151312956525369,0,24
"0x25",0.118309621370704,0.308096203228803,0.137505349261067,0.0559717923460974,0.20313261013786,0.0326066444455722,0.0523299327825113,0.0920478464273853,0,25
"0x26",0.108907014448981,0.38028416577197,0.0639766009099748,0.0972756219417888,0.174901712808395,0.0649512207608217,0.0545179501056162,0.055185713252453,0,26
"0x27",0.0680931861177574,0.280463725167433,0.0371454692677806,0.0949499771136512,0.265639195773884,0.0522861105559847,0.107000513897786,0.0944218221057226,0,27
"0x28",0.0637781839678241,0.161175376887728,0.0965979549804665,0.143826549762667,0.215179330932382,0.0944649697546758,0.0945022604983422,0.130475373215915,0,28
"0x29",0.0684668780294264,0.244236600968179,0.21258654564093,0.0908966091688452,0.208073317984031,0.0223930066567132,0.0504845296824098,0.102862511869465,0,29
"0x30",0.138964839084193,0.235664906366482,0.0710519019026451,0.0714949613358484,0.144298228127567,0.0198946082541444,0.0760863550128628,0.242544199916257,0,30
"0x31",0.100616220156139,0.302701450333837,0.142256527447271,0.149760365754532,0.0917269268755802,0.032635081920293,0.0673689692605912,0.112934458251756,0,31
"0x32",0.0318068734477818,0.250848083915434,0.242347893301594,0.042904195112069,0.055254370470284,0.0147328037462579,0.202298284497851,0.159807495508729,0,32
"0x33",0.0753634990133468,0.3609625340887,0.116827212411504,0.117887030398001,0.12948373347437,0.0140837393308079,0.116184633142291,0.0692076181409795,0,33
"0x34",0.061974696963378,0.252910746896342,0.0276870378234443,0.0408136019593908,0.162175307405379,0.221954515096539,0.104851856096885,0.127632237758641,0,34
"0x35",0.0583676259310319,0.209465525506973,0.182845921891738,0.106495287742025,0.244634799394125,0.101376354275327,0.0291750330859826,0.0676394521727967,0,35
"0x36",0.100579954260651,0.207943882623996,0.0469999970490646,0.0416688006225166,0.140166569255021,0.131053712752527,0.217803104681323,0.113783978754901,0,36
"0x37",0.100885949334865,0.221151308739476,0.172613515349851,0.067945599004519,0.170227763236947,0.01929699329206,0.0671693206185221,0.180709550423761,0,37
"0x38",0.170695921120808,0.214374713322717,0.0337834590107492,0.0544025913241395,0.208875754837588,0.0172503318406086,0.0659809717641139,0.234636256779275,0,38
"0x39",0.119149493425068,0.159491187420795,0.248459226826105,0.056388774616897,0.138269830503034,0.024137363881482,0.205437456506662,0.048666666819956,0,39
"0x40",0.126933086862145,0.218195446776421,0.133314406469271,0.0544580785790237,0.0892090216860145,0.0634331348689011,0.173730404013854,0.14072642074437,0,40
"0x41",0.146038168024855,0.0938956154669171,0.140877364983348,0.0768880823347503,0.257196292268923,0.0184817618577155,0.0293022896565085,0.237320425406984,0,41
"0x42",0.0797191630128834,0.118492349396849,0.186461812112527,0.0469355100012462,0.155580322983976,0.128497420003179,0.0977033091800922,0.186610113309247,0,42
"0x43",0.158179685931838,0.169250876091867,0.0850177335652905,0.0886670261460528,0.215820506637644,0.0229815416095147,0.188995411229634,0.0710872187881591,0,43
"0x44",0.229224261677226,0.0910255806515287,0.0849718962918756,0.0823595047863826,0.216396206392372,0.0796631630881856,0.140653264370815,0.0757061227416158,0,44
"0x45",0.0573455398775585,0.222723772349048,0.0299361891812701,0.0641919675912862,0.229740488689406,0.014422909699019,0.160343852065522,0.22129528054689,0,45
"0x46",0.120662885735162,0.232173286889382,0.170156922814781,0.040756603965272,0.18516563597523,0.117688738711199,0.0319977214268138,0.10139820448216,0,46
"0x47",0.183401686046447,0.10857098705809,0.0355821177385576,0.126953436272809,0.281227511720842,0.027615540414771,0.0806523121767714,0.155996408571712,0,47
"0x48",0.0907213431226965,0.124116168323282,0.22068094967716,0.0736138824671636,0.114587239831731,0.032462226343459,0.143599671455487,0.20021851877902,0,48
"0x49",0.172332706018048,0.205597552691097,0.025095927188582,0.10471707319772,0.244426351799357,0.00901874407413102,0.0816484989974767,0.157163146033588,0,49
"1x0",0.110390637090981,0.470225416419905,0.00632678009577246,0.128716893644258,0.105223802651026,0.0176371305664136,0.0809912836058962,0.0804880559257479,1,0
"1x1",0.120935084166497,0.428796876779042,0.0317680851987487,0.0704549317772727,0.0995331535969988,0.0251529569776931,0.124855947875762,0.0985029636279854,1,1
"1x2",0.0632686348003494,0.399476905671619,0.0852205815093893,0.136605460706872,0.108450322192964,0.00786424449343834,0.0884611361408432,0.110652714484525,1,2
"1x3",0.127589509145211,0.320813187255408,0.160572258493283,0.12662836886677,0.0886240623228115,0.0319284969568239,0.0802071819286484,0.0636369350310447,1,3
"1x4",0.114617553981276,0.489465507067309,0,0.137593819135064,0.0739318566411197,0.0406809165443834,0.0854977705649616,0.0582125760658866,1,4
"1x5",0.0486852623800567,0.503309286780562,0.00829312882194624,0.104384703823331,0.0676567465755378,0.0475479946339754,0.133587325113634,0.086535551870957,1,5
"1x6",0.0846596695495378,0.483123838253094,0.0104622680051718,0.135242804627864,0.0892178017403973,0.0214707647879862,0.108356586165005,0.0674662668709442,1,6
"1x7",0.0324145976679584,0.519479378775162,0.035224753097982,0.108413280194174,0.0620184353922412,0.0159694084106507,0.183264313409037,0.0432158330527945,1,7
"1x8",0.129075659017205,0.419578916719415,0.00875882297154595,0.144280632216404,0.084674926521852,0.0259921315587971,0.120119347832762,0.0675195631620185,1,8
"1x9",0.0748575877094313,0.500266156891986,0.00674053470183686,0.0953395237891504,0.0850798180998279,0.0164271548894275,0.123742000909338,0.0975472230090028,1,9
"1x10",0.00412225066940437,0.120591694337739,0.161621242302887,0.0691111480907531,0.249732539362038,0.0134712046850021,0.227409139141406,0.15394078141077,1,10
"1x11",0.055409897143149,0.469657851467078,0.0607233140997065,0.146169884036164,0.0739437246177843,0.0253620671927033,0.113598622498424,0.0551346389449908,1,11
"1x12",0.170367436942959,0.358602474321987,0.0499574333894162,0.0758867614274551,0.084175224571805,0.0258637337316323,0.167151033684663,0.0679959019300825,1,12
"1x13",0.060677990441344,0.466775911662691,0.0842307897666301,0.13035054331848,0.0512499070830655,0.0356726183735109,0.0763432719627288,0.0946989673915504,1,13
"1x14",0.0234316821473834,0.495271925841989,0.00055383578523066,0.0685423607937026,0.0843783894374572,0.0308860423568286,0.137923580039178,0.159012183598231,1,14
"1x15",0.115206459186812,0.417300943793471,0,0.114012818834856,0.0852063872944954,0.0161332513502527,0.193293297961845,0.0588468415782679,1,15
"1x16",0.060818469571365,0.426216688642424,0.0914297529035576,0.0842124915069324,0.0933816720817325,0.123846068373279,0.0345871616998513,0.0855076952208583,1,16
"1x17",0.093260104265827,0.397099151924645,0.0657735344985251,0.145496647345121,0.0507544785962384,0.0194063163497136,0.180996049722475,0.0472137172974546,1,17
"1x18",0.0683074517507218,0.495460010613149,0.100002604551649,0.13286090458294,0.056694469334018,0.0412281228073018,0.0320052915110338,0.0734411448491865,1,18
"1x19",0.117057608048069,0.371813801865571,0.0937965942090981,0.135888369411717,0.115905339895714,0.0158672133502851,0.0760794565967033,0.0735916166228421,1,19
"1x20",0.0791695843958964,0.309413118356305,0.0329758957314676,0.0925820516279094,0.326230795085932,0.0143626250564971,0.0889399597782409,0.0563259699677518,1,20
"1x21",0.138635703013107,0.355371693480211,0.00479289259640846,0.0801610315405122,0.145370702024239,0.059547403322499,0.0602983166982206,0.155822257324803,1,21
"1x22",0.0730711735072285,0.297833469569265,0.107058649871115,0.0878449748824652,0.079637444687049,0.10220030901815,0.199820032762377,0.0525339457023501,1,22
"1x23",0.0336417393327108,0.389011344478923,0.207569023717917,0.103064190698595,0.107894287084448,0.0343859013879045,0.0226707696765685,0.101762743622934,1,23
"1x24",0.0130187981045474,0.364505057367257,0.140277262449037,0.0512395444321707,0.0579619302855437,0.0149585106351881,0.201912978503342,0.156125918222914,1,24
"1x25",0.0664995111591973,0.277908921704227,0.125374975445403,0.126618782550318,0.21736244230112,0.0274239238556042,0.0792098414824638,0.079601601501667,1,25
"1x26",0.0683660076034248,0.313501833934984,0.00305690224403235,0.0226384294116097,0.147386309836904,0.0153790882260099,0.0792919036517183,0.350379525091317,1,26
"1x27",0.109673899023666,0.230871965359632,0.132748374366573,0.0889578309794323,0.236799910638745,0.0291017083796616,0.117651083584632,0.0541952276676588,1,27
"1x28",0.125853888014697,0.267160275104844,0.0720598133131096,0.117876194932982,0.107164102569054,0.0202315939094628,0.0601016136452234,0.229552518510627,1,28
"1x29",0.221201638660634,0.0996283456857993,0.0243038392831679,0.00219004416079842,0.307530992118584,0.0324720571711953,0.0510427792364223,0.261630303683398,1,29
"1x30",0.076278305407295,0.251198771698443,0.199696777462514,0.0505441982232859,0.143389600753078,0.0939477391366586,0.0970200859317851,0.0879245213869402,1,30
"1x31",0.060255764972249,0.274450615410892,0.104814528319602,0.0412653265545575,0.163005290042513,0.0162686176754635,0.118716331025569,0.221223525999154,1,31
"1x32",0.119722403811128,0.231661580893456,0.133052045870203,0.0137377433187709,0.34630854069512,0.027084525714444,0.0990382708540301,0.029394888842848,1,32
"1x33",0.0496880238047445,0.275141039637235,0.228577656354989,0.110650834924862,0.171451635188056,0.0238918677008294,0.0757339489259725,0.0648649934633118,1,33
"1x34",0.120649603029055,0.214465793658551,0.12595789986839,0.0983332143650913,0.121903933132142,0.126945430350473,0.0674639025195909,0.124280223076707,1,34
"1x35",0.116340082724163,0.159474192865332,0.197290692346356,0.13047272088273,0.145165702612225,0.0190615259040641,0.0631137514564809,0.169081331208651,1,35
"1x36",0.118795238547496,0.214323195761066,0.0690286600081596,0.0881044593084446,0.122072358908099,0.0888922273711175,0.129310501634848,0.16947335846077,1,36
"1x37",0.151450810563887,0.147407512682417,0.127218615712902,0.0919373363889324,0.130725632113298,0.0743952806902452,0.0395808151992297,0.237283996649089,1,37
"1x38",0.111372921828661,0.194878081248387,0.113592867222362,0.117748302742257,0.242132946737451,0.0281977019061163,0.0365130508040948,0.155564127510672,1,38
"1x39",0.0715606728020814,0.332820220800706,0.104101995329468,0.0416217291993774,0.0543753727991993,0.101522579459837,0.0500623039582345,0.243935125651096,1,39
"1x40",0.0560128482040568,0.143401371912961,0.25530609511883,0.0758100597542307,0.075643428784474,0.108288792502638,0.171276720450027,0.114260683272783,1,40
"1x41",0.0456753466179521,0.190251965710791,0.061463749761687,0.0430892629787632,0.421253823260444,0.0270540989424535,0.0778840384542173,0.133327714273692,1,41
"1x42",0.138270760637947,0.182191967742725,0.2626618400771,0.139805997076756,0.0831216525354638,0.0222422286160356,0.0725523288798883,0.0991532244340838,1,42
"1x43",0.0415640343726986,0.113482368164484,0.100046951411479,0.134921284491663,0.381922434414355,0.00538692336672293,0.0846798443053881,0.137996159473208,1,43
